Nombre (AFORE),Estado,latitud,longitud,PEA
Nuevo CAP,Baja California Sur,23.71285786,-110.122146,1
INBURSA,Campeche,19.8301251,-90.5349087,24326.28
INBURSA,Campeche,18.6496771,-91.8049457,24326.28
PROFUTURO,Campeche,19.8533103,-90.5301763,24326.28
INVERCAP,Campeche,19.8461896,-90.5316904,24326.28
PENSIONISSSTE,Campeche,19.8537408,-90.5283937,24326.28
COPPEL,Campeche,19.8301251,-90.5349087,24326.28
COPPEL,Campeche,18.6398299,-91.8354908,24326.28
COPPEL,Campeche,18.6381681,-91.8344183,24326.28
COPPEL,Campeche,19.8458301,-90.5352541,24326.28
COPPEL,Campeche,19.8435594,-90.5409126,24326.28
COPPEL,Campeche,19.8254244,-90.5343219,24326.28
COPPEL,Campeche,19.1877616,-90.2995785,24326.28
SURA,Campeche,18.6398299,-91.8354908,24326.28
CITIBANAMEX,Campeche,19.8379454,-90.5198013,24326.28
CITIBANAMEX,Campeche,18.6391234,-91.8318054,24326.28
XXI-BANORTE,Campeche,19.8338809,-90.5464995,24326.28
XXI-BANORTE,Campeche,18.6398299,-91.8354908,24326.28
AZTECA,Campeche,19.8408304,-90.5351987,24326.28
Nuevo CAP,Campeche,19.34753339060944, -90.7203192970066,1
INBURSA,CDMX,19.2975525,-99.18493,52737.32
INBURSA,CDMX,19.2940416,-99.127935,52737.32
INBURSA,CDMX,19.4405345,-99.2033826,52737.32
INBURSA,CDMX,19.4266838,-99.2053519,52737.32
INBURSA,CDMX,19.3568307,-99.2948439,52737.32
INBURSA,CDMX,19.3958688,-99.16713,52737.32
INBURSA,CDMX,19.4234562,-99.161194,52737.32
INBURSA,CDMX,19.3688873,-99.1663515,52737.32
INBURSA,CDMX,19.3402778,-99.2418386,52737.32
INBURSA,CDMX,19.428911,-99.2154133,52737.32
INBURSA,CDMX,19.3840244,-99.0831764,52737.32
INBURSA,CDMX,19.3047067,-99.204331,52737.32
INBURSA,CDMX,19.433616,-99.1372766,52737.32
INBURSA,CDMX,19.4971443,-99.1650324,52737.32
INBURSA,CDMX,19.2905922,-99.1311312,52737.32
INBURSA,CDMX,19.3486926,-99.1629131,52737.32
PROFUTURO,CDMX,19.3588234,-99.1947076,52737.32
PROFUTURO,CDMX,19.4311134,-99.1579396,52737.32
PROFUTURO,CDMX,19.4864753,-99.1225507,52737.32
PROFUTURO,CDMX,19.3748298,-99.1844758,52737.32
INVERCAP,CDMX,19.3609969,-99.1835889,52737.32
INVERCAP,CDMX,19.382987,-99.2418386,52737.32
INVERCAP,CDMX,19.4925271,-99.1599744,52737.32
INVERCAP,CDMX,19.4060777,-99.1700712,52737.32
INVERCAP,CDMX,19.4306425,-99.1664702,52737.32
INVERCAP,CDMX,19.4246768,-99.140282,52737.32
INVERCAP,CDMX,19.3943047,-99.122831,52737.32
INVERCAP,CDMX,19.3554454,-99.1018887,52737.32
PENSIONISSSTE,CDMX,19.3167491,-99.1237739,52737.32
PENSIONISSSTE,CDMX,19.444842,-99.151902,52737.32
PENSIONISSSTE,CDMX,19.4136232,-99.1813129,52737.32
PENSIONISSSTE,CDMX,19.384393,-99.148584,52737.32
PENSIONISSSTE,CDMX,19.3574074,-99.1987345,52737.32
PENSIONISSSTE,CDMX,19.3762289,-99.0955446,52737.32
PENSIONISSSTE,CDMX,19.3286155,-99.1086078,52737.32
COPPEL,CDMX,19.4002525,-99.2091599,52737.32
COPPEL,CDMX,19.5257721,-99.1416805,52737.32
COPPEL,CDMX,19.4580214,-99.184757,52737.32
COPPEL,CDMX,19.3568654,-99.2996805,52737.32
COPPEL,CDMX,19.3911983,-99.0453508,52737.32
COPPEL,CDMX,19.3571465,-99.0027246,52737.32
COPPEL,CDMX,19.30243,-99.1657676,52737.32
COPPEL,CDMX,19.4009393,-99.1373569,52737.32
COPPEL,CDMX,19.3519673,-99.0784054,52737.32
COPPEL,CDMX,19.3566703,-99.1159581,52737.32
COPPEL,CDMX,19.3948045,-99.0761588,52737.32
COPPEL,CDMX,19.4172364,-99.1281467,52737.32
COPPEL,CDMX,19.3475329,-99.0181196,52737.32
COPPEL,CDMX,19.4089913,-99.1204842,52737.32
COPPEL,CDMX,19.4986949,-99.0956671,52737.32
COPPEL,CDMX,19.4057613,-99.1852542,52737.32
COPPEL,CDMX,19.3619331,-99.1193297,52737.32
COPPEL,CDMX,19.374008,-99.1881545,52737.32
COPPEL,CDMX,19.2543704,-99.0163461,52737.32
COPPEL,CDMX,19.4267183,-99.1330658,52737.32
COPPEL,CDMX,19.3711918,-99.1430616,52737.32
COPPEL,CDMX,19.3438214,-99.1909866,52737.32
COPPEL,CDMX,19.4436587,-99.1657412,52737.32
COPPEL,CDMX,19.4298017,-99.1326335,52737.32
COPPEL,CDMX,19.4326077,-99.133208,52737.32
COPPEL,CDMX,19.4263318,-99.1098854,52737.32
COPPEL,CDMX,19.5899223,-99.031901,52737.32
COPPEL,CDMX,19.3723515,-99.2155337,52737.32
COPPEL,CDMX,19.3582674,-99.0895959,52737.32
COPPEL,CDMX,19.3078265,-99.2332506,52737.32
COPPEL,CDMX,19.493025,-99.0769735,52737.32
COPPEL,CDMX,19.4557685,-99.1193084,52737.32
COPPEL,CDMX,19.2703413,-99.008682,52737.32
COPPEL,CDMX,19.5441478,-99.1389133,52737.32
COPPEL,CDMX,19.388357,-99.0993957,52737.32
COPPEL,CDMX,19.4002187,-99.0610249,52737.32
COPPEL,CDMX,19.50166,-99.20419,52737.32
COPPEL,CDMX,19.321288,-99.086106,52737.32
COPPEL,CDMX,19.3054423,-99.2354811,52737.32
